id,productDisplayName,brandName,gender,baseColour,season,year,usage,articleType,masterCategory,subCategory,imageURL
10005,Nike Men As Ss Trainin Blue T-Shirts,Nike,men,Blue,Fall,2011.0,Sports,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/5dc5a3265be8eeefdbd7c06e43ff6cb9_images.jpg
10006,Nike Men AS T90 Black Tshirts,Nike,men,Black,Fall,2011.0,Sports,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/74f42a1523d450362f6579f96b64b608_images.jpg
10008,Nike Men Town Navy Blue T-Shirts,Nike,men,Navy Blue,Fall,2011.0,Sports,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/11208e022cee193bc9ce69ae7601d11e_images.jpg
10009,Nike Men Town Round Red Neck T-Shirts,Nike,men,Red,Fall,2011.0,Sports,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/c683c989cc53d172a8d9b175d75d1294_images.jpg
10010,Nike Men As Showdown F Black T-Shirts,Nike,men,Black,Fall,2011.0,Sports,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/a062e261b6d3e1349a6d2a6aa7371669_images.jpg
10013,Nike Men As Ss Cruiser Yellow T-Shirts,Nike,men,Yellow,Fall,2011.0,Sports,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/8294dba13908524b577b295ca6282838_images.jpg
10015,Locomotive Men American Glory White Tshirts,LOCOMOTIVE,men,White,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/4576528b60bdbec05893efe87d2c284b_images.jpg
10022,Nike Men Blue Polo Tshirts,Nike,men,Blue,Fall,2011.0,Sports,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/dcdf10855cb9709e3ff034e62313a54c_images.jpg
10031,Nike Men As Arsenal Co Navy Blue T-Shirts,Nike,men,Navy Blue,Fall,2011.0,Sports,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/f891a7ec22ae36e8c14defd61bb0b7f3_images.jpg
10032,Nike Men AS FCB Core T Black T-shirts,Nike,men,Black,Fall,2011.0,Sports,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/826d8f5d5e64a05b51c0afd3d5adb1ba_images.jpg
10035,Reebok Men Runtone Action Brown Sports Shoes,Reebok,men,Brown,Fall,2011.0,Sports,Sports Shoes,Footwear,Shoes,http://assets.myntassets.com/v1/images/style/properties/ca06d73e7eabdfe68bcdee9c3a8739fc_images.jpg
10037,Reebok Men Premier ultra 8 U-form Silver Sports Shoes,Reebok,men,Silver,Fall,2011.0,Sports,Sports Shoes,Footwear,Shoes,http://assets.myntassets.com/v1/images/style/properties/c876491b1ad3bbece863d5bf29408446_images.jpg
10039,Reebok Men Raceon White Sports Shoes,Reebok,men,White,Fall,2011.0,Sports,Sports Shoes,Footwear,Shoes,http://assets.myntassets.com/v1/images/style/properties/8c7024fc08196b33759515ff1d542899_images.jpg
10040,Nike Men White Polo Tshirts,Nike,men,White,Fall,2011.0,Sports,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/c2e91f240ec1503abde9529cdea2e434_images.jpg
10043,Puma Men ferrari Black Polo Tshirts,Puma,men,Black,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/7f8898f2b88316fdc4cc970f08b56daf_images.jpg
10044,Puma Men Ferrari Logo Black Tshirts,Puma,men,Black,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/feee09d16daa4bd9f01bb6a87693aa84_images.jpg
10045,Puma Men Heroes Party Graphic Blue Tshirts,Puma,men,Blue,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/74b69fbb1f5697af585c3ebc18315918_images.jpg
10046,Puma Men Heroes Graphic Green Tshirts,Puma,men,Green,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/eb6356e3915780613a7c3533ad3fdab0_images.jpg
10047,Puma Men Heroes Graphic Black Tshirts,Puma,men,Black,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/031fdac535f3c5630b6c63a1dbbbb859_images.jpg
10048,Puma Men Social Sport Black Tshirts,Puma,men,Black,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/4c4c7f32dcf714a378b5fb818b84a57e_images.jpg
10049,Puma Men Mns Body Train Black Tshirts,Puma,men,Black,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/a999c915f8b14dbff2b8d1709061c903_images.jpg
10050,Puma Men Usain Bolt Black Tshirts,Puma,men,Black,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/74bc9f69684b61729b7950ff07114d49_images.jpg
10051,Puma Men Motorsport Navy Blue Shirts,Puma,men,Navy Blue,Fall,2011.0,Casual,Shirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/0a8c0bf5d6f680a4b712050a67c63c84_images.jpg
10057,Puma Men Tshirt Trning White Polo Tshirts,Puma,men,White,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/7e75438fd1d569711ccdc49c3af0a7c8_images.jpg
10058,Puma Men Large logo tee Black Tshirts,Puma,men,Black,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/85edd9fe185b64067be2e2aa5f1e7d81_images.jpg
10059,Puma Men Black Polo Tshirts,Puma,men,Black,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/506e68ce21f4ee2dbfe8117c63d54aa1_images.jpg
10060,Puma Men motor sport tee White Tshirts,Puma,men,White,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/c9ea7b775dd14c52b71b265f4544fd17_images.jpg
10061,Puma Men graphic story tee White Tshirts,Puma,men,White,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/9a1511e85d03032420c7dd0481707515_images.jpg
10062,Puma Men Puma runhard tee Grey Tshirts,Puma,men,Grey,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/821d377e49f3aa198c1937e9793099a6_images.jpg
10063,Puma Men spine tee Yellow Tshirts,Puma,men,Yellow,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/326621cc6459c808536e5229782ea491_images.jpg
10064,Puma Men puma shield tee Yellow Tshirts,Puma,men,Yellow,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/473df328352f5cc757a7e6734167c52a_images.jpg
10065,Puma Men ducati logo tee Yellow Tshirts,Puma,men,Yellow,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/ef754e63472dece06abfa6d6c1266d91_images.jpg
10066,Puma Men Puma midrange tee Black Tshirts,Puma,men,Black,Fall,2011.0,Casual,Tshirts,Apparel,Topwear,http://assets.myntassets.com/v1/images/style/properties/b9c52b5667d67014a17e00d31f001530_images.jpg
